"","형상  														 REPO1","파일명","유형","라인 수","파일 크기(Byte)","파일CheckSum","코딩 규칙CheckSum","취약점CheckSum","보안성CheckSum","동적CheckSum","상태"
"","REPO1","\.gitattributes","신규","4","159","b5a8d646","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\.STATICFILE","신규","54","1847","6580745e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\.vs\address_manager\v14\.suo","신규","22","32256","73a8c957","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\.vs\address_manager\v15\.suo","신규","23","32768","b5377e44","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\.vs\address_manager\v16\.suo","신규","17","37376","7ab70c38","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager.sln","신규","20","787","fc6052dd","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager.suo","신규","10","18432","86fd596b","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\address_manager.vcxproj","신규","56","2638","38bdf15e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\address_manager.vcxproj.filters","신규","22","938","c85a5676","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\address_manager.vcxproj.user","신규","3","141","3d84b7bf","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\cvgc_601C65DA.obj","신규","79","4249","972c9700","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\cvgc_C94A2FC2.obj","신규","81","6842","25e67bc6","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\libcstm_601C65DA.obj","신규","103","120748","90d6ecc6","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\libcstm_C94A2FC2.obj","신규","115","121930","59beea86","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\manager.c","신규","168","3051","f9f435cb","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.Build.CppClean.log","신규","62","8294","3b6bce8b","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.log","신규","12","491","ae618be4","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\address_manager.lastbuildstate","신규","3","206","09ae8673","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.delete.1.tlog","신규","4","718","18f43d08","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.delete.7.tlog","신규","4","718","84b37d64","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.read.1.tlog","신규","53","12644","7d5295de","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.read.11.tlog","신규","10","2094","016f8bb6","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.read.12.tlog","신규","5","876","18e7da8f","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.read.15.tlog","신규","20","4456","27753a75","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.read.16.tlog","신규","4","592","7dfe0a0a","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.read.20.tlog","신규","5","760","58df4c86","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.read.31.tlog","신규","4","614","f2d537fc","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\2015_C_x86_address\address_manager\Release\address_manager.tlog\CL.21908-VCTIP.read.7.tlog","신규","7","1248","2c5f3cc7","미수행","미수행","비대상","미수행","불일치"
